Asset,Annualized Volatility,Total Return (%),Geometric Monthly Return (%),Geometric Yearly Return (%),Sharpe Ratio,99% Monthly VaR
Japan,0.14865253748806861,118.58122612131471,0.32772727955998615,4.004394898369945,0.3390770873142106,-0.1050809116387625
T-Bills_7_10,0.06532858440666534,83.67482969972147,0.25471580836116114,3.0997762588773403,0.500254702364419,-0.04118491821149108
T-Bills_20,0.1368816538766934,85.50730834713505,0.2588801632521953,3.1511783884902833,0.2943487084978244,-0.08087164459338932
APACxJapan,0.20218887942189104,245.17244014027847,0.5197030897620802,6.4178218283870825,0.4112809595788128,-0.1611402868836849
Europe,0.18316099694047447,163.54961341380692,0.40629236475342445,4.985945952187532,0.3585899381644811,-0.13437400530951796
LatAm,0.2722397512411005,192.5076846678169,0.45009809325371464,5.536911916965259,0.33818838571997767,-0.17312390306962003
US,0.1506016695572925,414.0522877117254,0.6873535139170661,8.56731844278984,0.6236229228826093,-0.1023231874911118
Gold,0.16677694349515074,491.19943222143786,0.7462785057165577,9.332216088775747,0.619487157445801,-0.10847375489705947
