Exchange Date,Portfolio
2005-05-11,1012531.0175328369
2005-05-12,1009856.9820472611
2005-05-13,1010029.6840647081
2005-05-16,1010184.0750758416
2005-05-17,1011125.8808163882
2005-05-18,1015220.925132798
2005-05-19,1015164.9863585678
2005-05-20,1012805.1654764699
2005-05-23,1017442.2450551126
2005-05-24,1019829.6180237435
2005-05-25,1017342.5519525474
2005-05-26,1017090.9805395477
2005-05-27,1019221.5522386003
2005-05-31,1021362.8031134224
2005-06-01,1026600.7382130746
2005-06-02,1029301.2673779571
2005-06-03,1025199.6079359293
2005-06-06,1027849.859997756
2005-06-07,1030016.0947008121
2005-06-08,1028571.140988864
2005-06-09,1026480.1696894404
2005-06-10,1023469.5292339686
2005-06-13,1022020.9084833665
2005-06-14,1020217.4908604209
2005-06-15,1021595.4424312564
2005-06-16,1026074.3212926177
2005-06-17,1027920.2072576025
2005-06-20,1026420.566740209
2005-06-21,1029529.174514396
2005-06-22,1034879.6208259013
2005-06-23,1033241.9126335045
2005-06-24,1033287.0908307522
2005-06-27,1033636.5013157713
2005-06-28,1030691.2799739984
2005-06-29,1029732.8192580926
2005-06-30,1029837.2258127982
2005-07-01,1023599.5466117873
2005-07-05,1020606.54225753
2005-07-06,1021198.5933903422
2005-07-07,1022239.2240624158
2005-07-08,1020113.7477877315
2005-07-11,1023164.5099972205
2005-07-12,1023305.4946232219
2005-07-13,1020747.0204092886
2005-07-14,1020426.1972668145
2005-07-15,1021039.93036443
2005-07-18,1019782.1870619701
2005-07-19,1020196.9190582214
2005-07-20,1022291.3409445775
2005-07-21,1020799.0066715779
2005-07-22,1023410.8325914923
2005-07-25,1021809.3489564761
2005-07-26,1020750.1093120291
2005-07-27,1021173.1922730964
2005-07-28,1025946.0118553052
2005-07-29,1022402.736436489
2005-08-01,1022008.312925977
2005-08-02,1023121.2360881536
2005-08-03,1026510.661397101
2005-08-04,1024024.2969024209
2005-08-05,1017646.7344708524
2005-08-08,1016782.3165234016
2005-08-09,1019089.3529149803
2005-08-10,1022601.6248963969
2005-08-11,1028928.8880382689
2005-08-12,1032039.3867694939
2005-08-15,1030801.893355999
2005-08-16,1032318.7212745006
2005-08-17,1028900.6600547238
2005-08-18,1030858.1589149766
2005-08-19,1030902.1673410378
2005-08-22,1033536.4879432983
2005-08-23,1034100.3109072465
2005-08-24,1032708.1982568844
2005-08-25,1033668.4364364905
2005-08-26,1031306.0178963521
2005-08-29,1031460.4277819914
2005-08-30,1034139.3394623329
2005-08-31,1040976.8978529279
2005-09-01,1044851.2214354734
2005-09-02,1044275.3036251217
2005-09-06,1045240.5351415949
2005-09-07,1043600.10037665
2005-09-08,1042802.889125972
2005-09-09,1046013.5385326099
2005-09-12,1043883.7720685072
2005-09-13,1044107.649124192
2005-09-14,1042877.7943340692
2005-09-15,1041019.4142485673
2005-09-16,1040445.125288728
2005-09-19,1041246.4178987382
2005-09-20,1040488.2939822718
2005-09-21,1042500.1188829193
2005-09-22,1042691.2394322453
2005-09-23,1038539.3988426757
2005-09-26,1037623.608344592
2005-09-27,1036582.5980424881
2005-09-28,1039814.7783742263
2005-09-29,1041366.9324861306
2005-09-30,1039251.1583403911
