Exchange Date,Portfolio
2005-07-26,1036322.7671445026
2005-07-27,1038032.7360696393
2005-07-28,1043182.6249037124
2005-07-29,1040349.9484651085
2005-08-01,1040701.0672461267
2005-08-02,1043287.7841215273
2005-08-03,1047680.8172444778
2005-08-04,1044024.5108712984
2005-08-05,1036222.7035499894
2005-08-08,1035768.6034851428
2005-08-09,1039495.2102349822
2005-08-10,1046284.9809523363
2005-08-11,1054863.5081322012
2005-08-12,1057539.796746784
2005-08-15,1057193.9279275204
2005-08-16,1057533.0369575738
2005-08-17,1053436.300074722
2005-08-18,1053430.0332439425
2005-08-19,1052806.3147212397
2005-08-22,1058178.10394924
2005-08-23,1058093.4465969221
2005-08-24,1055542.099488119
2005-08-25,1057155.430660788
2005-08-26,1055138.0634080078
2005-08-29,1054058.1372713018
2005-08-30,1054885.0497772628
2005-08-31,1062812.0050795444
2005-09-01,1068548.7740050368
2005-09-02,1068798.1920614385
2005-09-06,1071544.9446363088
2005-09-07,1069857.0857549803
2005-09-08,1068397.0492518877
2005-09-09,1074784.8572097355
2005-09-12,1073328.9714864667
2005-09-13,1071509.0782593894
2005-09-14,1071259.0778363305
2005-09-15,1070393.5562581427
2005-09-16,1070809.0095611853
2005-09-19,1071620.948799282
2005-09-20,1072799.5978026674
2005-09-21,1075883.9809683124
2005-09-22,1074656.8773408164
2005-09-23,1070723.636318856
2005-09-26,1072089.4294059149
2005-09-27,1069801.1617814288
2005-09-28,1076063.964028274
2005-09-29,1080812.0432304253
2005-09-30,1078422.32097445
2005-10-03,1072564.3833203022
2005-10-04,1071540.572086345
2005-10-05,1064270.3245291007
2005-10-06,1060246.9190073113
2005-10-07,1062539.134973982
2005-10-10,1060181.5910748944
2005-10-11,1061023.4592398668
2005-10-12,1054369.9805930962
2005-10-13,1050280.6659212527
2005-10-14,1052281.5958970329
2005-10-17,1053902.4806413937
2005-10-18,1048960.9462077173
2005-10-19,1049674.5178514286
2005-10-20,1044744.1967359406
2005-10-21,1049587.921546787
2005-10-24,1051391.6429071208
2005-10-25,1053719.9402360718
2005-10-26,1049953.789478411
2005-10-27,1050500.3374619498
2005-10-28,1051564.3869988297
2005-10-31,1054569.0769012235
2005-11-01,1055038.7351650037
2005-11-02,1057365.0898829852
2005-11-03,1058137.3122010406
2005-11-04,1055107.356454936
2005-11-07,1057300.1048771783
2005-11-08,1062357.168491409
2005-11-09,1060029.2332611876
2005-11-10,1065507.8365198197
2005-11-11,1069049.02090725
2005-11-14,1064732.2235549742
2005-11-15,1064843.1130874718
2005-11-16,1072701.9569772945
2005-11-17,1082329.9539384334
2005-11-18,1083681.2149391097
2005-11-21,1089835.1099644373
2005-11-22,1090480.814916279
2005-11-23,1091858.163789008
2005-11-25,1094651.752063461
2005-11-28,1097176.5105325782
2005-11-29,1093061.5285330587
2005-11-30,1087643.506227621
2005-12-01,1092818.3079148692
2005-12-02,1097425.667987733
2005-12-05,1097163.1666854692
2005-12-06,1101167.7016117044
2005-12-07,1099608.6551992674
2005-12-08,1100027.525943358
2005-12-09,1100760.0055437088
2005-12-12,1105296.599428444
2005-12-13,1104848.8859595088
2005-12-14,1108866.8859216939
2005-12-15,1104674.7964697848
2005-12-16,1104921.206431275
2005-12-19,1105082.3006296894
2005-12-20,1101651.7214404463
2005-12-21,1104198.9906595545
2005-12-22,1110238.0243575906
2005-12-23,1112590.5541671282
2005-12-27,1112008.6674727807
2005-12-28,1115405.4427199129
2005-12-29,1115704.2862014777
2005-12-30,1112847.7039776943
2006-01-03,1123509.851927245
2006-01-04,1130677.9560752115
2006-01-05,1129935.411772225
2006-01-06,1135612.1841668603
2006-01-09,1140598.2064685912
2006-01-10,1135892.4702327435
2006-01-11,1138144.49510235
2006-01-12,1139499.9968353875
2006-01-13,1145035.0184926318
2006-01-17,1142232.019242477
2006-01-18,1133565.784415719
2006-01-19,1140059.1265224034
2006-01-20,1135367.7866159684
2006-01-23,1136359.817936806
2006-01-24,1135698.2004508534
2006-01-25,1133349.859352846
2006-01-26,1133253.8626057901
2006-01-27,1140259.4727637763
2006-01-30,1141171.1690486716
2006-01-31,1142070.42654458
2006-02-01,1142111.0399838493
2006-02-02,1138331.0463722914
2006-02-03,1136168.812664721
2006-02-06,1138782.3152043836
2006-02-07,1130605.4557602971
2006-02-08,1127718.7068014103
