Exchange Date,Portfolio
2005-10-11,1084603.007372212
2005-10-12,1076123.3253835917
2005-10-13,1071456.9114646504
2005-10-14,1071410.4783889782
2005-10-17,1074788.8115393901
2005-10-18,1070578.2191214291
2005-10-19,1067109.1226946705
2005-10-20,1063019.6894266114
2005-10-21,1070061.1211278397
2005-10-24,1069787.1231124722
2005-10-25,1072502.2862599927
2005-10-26,1068549.7857004823
2005-10-27,1070034.0990231826
2005-10-28,1070318.899400425
2005-10-31,1071452.2594848298
2005-11-01,1070007.0247909657
2005-11-02,1071672.5028434114
2005-11-03,1070478.0798763284
2005-11-04,1066141.261352483
2005-11-07,1069214.584473727
2005-11-08,1074661.48061899
2005-11-09,1073438.2438585644
2005-11-10,1077238.3936778237
2005-11-11,1080213.399929038
2005-11-14,1075972.9401572219
2005-11-15,1077325.446065815
2005-11-16,1087692.249472148
2005-11-17,1097307.1764685302
2005-11-18,1096368.957554638
2005-11-21,1103000.2122943096
2005-11-22,1105062.8703854033
2005-11-23,1104565.647886755
2005-11-25,1108200.6912163198
2005-11-28,1111589.7485362065
2005-11-29,1107674.2848479147
2005-11-30,1102284.2673554232
2005-12-01,1109519.6296369494
2005-12-02,1113696.1581046237
2005-12-05,1114287.9801789287
2005-12-06,1120511.5206273324
2005-12-07,1119098.6614373892
2005-12-08,1122230.0985956066
2005-12-09,1122105.0782694034
2005-12-12,1126144.262169928
2005-12-13,1123487.7362015496
2005-12-14,1124444.5696801192
2005-12-15,1120072.329797346
2005-12-16,1121438.257305678
2005-12-19,1121338.7904632124
2005-12-20,1115939.3074927668
2005-12-21,1119101.4828524254
2005-12-22,1126446.251172901
2005-12-23,1129839.4008482147
2005-12-27,1132584.4431687652
2005-12-28,1135555.9737102268
2005-12-29,1137506.5355597753
2005-12-30,1135436.4673468461
2006-01-03,1148149.6776957943
2006-01-04,1154573.6635619702
2006-01-05,1151582.428064806
2006-01-06,1158660.7832826336
2006-01-09,1163764.2142028369
2006-01-10,1156639.443976457
2006-01-11,1159328.8848245163
2006-01-12,1162146.283359832
2006-01-13,1169683.2134322366
2006-01-17,1165913.9374026156
2006-01-18,1156678.288135596
2006-01-19,1165362.8821348206
2006-01-20,1163430.8085553313
2006-01-23,1166688.2403864663
2006-01-24,1166778.301217431
2006-01-25,1163741.328690756
2006-01-26,1163501.265175825
