Exchange Date,Portfolio
2005-05-26,1022166.6969691024
2005-05-27,1025638.2964400786
2005-05-31,1026294.0629669039
2005-06-01,1034317.2499530425
2005-06-02,1039877.0538706504
2005-06-03,1036675.1063232237
2005-06-06,1037687.9354417112
2005-06-07,1040150.2608885309
2005-06-08,1040014.5911216779
2005-06-09,1035153.1649760519
2005-06-10,1032877.6327652892
2005-06-13,1030865.5012916147
2005-06-14,1032181.7180976989
2005-06-15,1034937.1048052439
2005-06-16,1041114.0491646962
2005-06-17,1048096.0722034959
2005-06-20,1045381.4614973293
2005-06-21,1048168.395916403
2005-06-22,1052127.3476152937
2005-06-23,1046587.6497961126
2005-06-24,1044880.2871002876
2005-06-27,1046371.6523906149
2005-06-28,1047017.9650008366
2005-06-29,1046058.8715563728
2005-06-30,1046492.0362392097
2005-07-01,1041736.3605427954
2005-07-05,1038813.8440964126
2005-07-06,1039844.0779248544
2005-07-07,1037821.9612870659
2005-07-08,1038972.8958434865
2005-07-11,1046480.9991232601
2005-07-12,1049774.8790865247
2005-07-13,1047164.7066100007
2005-07-14,1050062.5875965105
2005-07-15,1047910.6610479808
2005-07-18,1047184.0913786212
2005-07-19,1047585.4383633292
2005-07-20,1051722.7891983239
2005-07-21,1053680.09814994
2005-07-22,1056467.523382015
2005-07-25,1050385.4572648136
2005-07-26,1049452.62331338
2005-07-27,1052674.5795668853
2005-07-28,1060284.3992982227
2005-07-29,1058951.5379231242
2005-08-01,1061307.7534253544
2005-08-02,1066404.4745928335
2005-08-03,1070496.3742948351
2005-08-04,1067273.4681213477
2005-08-05,1059017.3164911252
2005-08-08,1061272.0370034375
2005-08-09,1066432.3217978792
2005-08-10,1074273.3813709132
2005-08-11,1079875.9772815588
2005-08-12,1082243.738146673
2005-08-15,1082728.1389325208
2005-08-16,1081247.834624699
2005-08-17,1077667.1134670146
2005-08-18,1073840.5782154894
2005-08-19,1072839.0958436236
2005-08-22,1081761.3299768548
2005-08-23,1078777.218771665
2005-08-24,1075309.6721994358
2005-08-25,1078576.1719184231
2005-08-26,1076299.972318391
2005-08-29,1074336.376992522
2005-08-30,1076369.9797823136
2005-08-31,1086880.6498008044
2005-09-01,1095930.8572565983
2005-09-02,1098928.0499379714
2005-09-06,1103532.7456796123
2005-09-07,1102315.6162215841
2005-09-08,1099514.2848017532
2005-09-09,1107087.4878076096
2005-09-12,1104734.686788556
2005-09-13,1101567.8043235128
2005-09-14,1102633.762584883
2005-09-15,1102054.4504470811
2005-09-16,1102671.069945315
2005-09-19,1103343.0471309545
2005-09-20,1107026.4724502685
2005-09-21,1111577.5274644513
2005-09-22,1108820.2977041332
2005-09-23,1105658.0881238182
2005-09-26,1109756.201939984
2005-09-27,1106159.0698781402
2005-09-28,1114622.9738094152
2005-09-29,1119752.5182383535
2005-09-30,1119059.3648927957
2005-10-03,1115271.8575304062
2005-10-04,1114485.2112697354
2005-10-05,1104045.9318875412
2005-10-06,1093259.9527723491
2005-10-07,1097025.9285525838
2005-10-10,1096018.4283712024
2005-10-11,1098131.4630736983
2005-10-12,1089839.9014496845
2005-10-13,1082204.1833238804
2005-10-14,1084543.180195413
2005-10-17,1086260.6095602943
2005-10-18,1080418.2413198473
2005-10-19,1079302.1088748008
2005-10-20,1074567.1801186702
2005-10-21,1079275.1166595982
2005-10-24,1082680.1347748453
2005-10-25,1083534.220491639
2005-10-26,1082051.5071869127
2005-10-27,1079955.8171513153
2005-10-28,1080889.6797493594
2005-10-31,1090154.2633875937
2005-11-01,1094855.0700855034
2005-11-02,1096268.0870620066
2005-11-03,1097707.8690588684
2005-11-04,1093868.3202957571
2005-11-07,1095809.7900904994
2005-11-08,1100756.5996054413
2005-11-09,1096715.9988940759
2005-11-10,1100379.761811752
2005-11-11,1103995.847560403
2005-11-14,1099161.7217463795
2005-11-15,1099139.7023760774
2005-11-16,1104834.6432300897
2005-11-17,1114638.4202846012
2005-11-18,1115216.964758019
2005-11-21,1120812.7491410612
2005-11-22,1121086.625969271
2005-11-23,1123260.2112360238
2005-11-25,1125549.9020315255
2005-11-28,1127749.640432192
2005-11-29,1123273.0756315128
2005-11-30,1120182.13297332
2005-12-01,1126399.8838590533
2005-12-02,1132864.9708583546
2005-12-05,1132366.9809672958
2005-12-06,1138527.2802304341
2005-12-07,1133341.606707225
2005-12-08,1131460.9140323612
2005-12-09,1131693.3480947134
2005-12-12,1137388.1899152084
2005-12-13,1139918.1731942734
2005-12-14,1147319.1850937577
2005-12-15,1141013.2082240372
2005-12-16,1142575.5552466577
2005-12-19,1140929.1085195066
